neg	مين فينا مش عارف يحقق حلم اتولد م😍عاه السبب بس الوحيد ان في ناس شغلتها في الدنيا تسرق اح😕لام…
neg	والمنهج متى بنخلصه 😭 😝
neg	وتلاقيهم منتشرين في الأسواق اكثر شي ويعمموا ثقافتهم ويصدروها للمجتمع على إنها ثقافة سعودية وللاسف اتوقع إن إنقراضهم مستحيل 😔
pos	{🌹ان الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه وسلموا تسليما🌹} ◤🌹اللهم ﷺﷺ…
pos	⠀⠀ 🍃 ⠀⠀ ⠀ ⠀ حنا سمو الغيم ما نقبل الدون علم ضعيف النفس لا يختبرنا ..
neg	اول شيء تصير كارثة لازم تصير كارثة وبعدين نقترح فمحد يستجيب .. فلازم احد يثير بلبلة وسخط عشان يطلع قرار عاجل بتشكيل…
pos	أستغفر الله العظيم وأتوب إليه🌷 🌴 أستغفر الله العظيم وأتوب إليه🌷 🌴 🌴 أستغفر الله العظيم وأتوب إليه🌷
pos	تعلم من البارحة ، عش لهذا اليوم ، الأمل في الغد. 🌹
neg	ما فد يوم بجيت واحد كلي اني هنا لا تبجين السوال هو ليش تبجين كاتلهم الفضول 🌚
neg	كيف سويتي كذا ي اسطوره 😲
pos	أنا ابن البلد وانا قائد أجيال القووه وصمود اجيال القووه والحرب والسلام اجيال المستقبل و…
pos	هو يوم جديد لااعلم عنه إلاحسن ظني بربي وتوكلي عليه فأجعله ياربي جميلآ بجمال تدبيرك وبديع رحمتك .. يارب في صباح ه…
pos	تخرب نفسيتكم الليله 😂
neg	_ع وجه المغرب تركت لرحمة الرحمن نفسي .. ما لي دون رحمته رجاء أنا الإنسان في ضعفي وعجزي وأنت الله .. تفعل م…
pos	صباح الزين 😍 زان بك الصبح وحسابي 😍
pos	هنجبها الماتش اللى جاى تلعب فرود مع شيخ الكوارشى 😂
pos	💰 ⁩دورة التخطيط الاستراتيجي و التشغيلي الالكتروني عبر نظام بلامكس 👧تقدمها المدربة الدولية المعتمدة الاستاذة عائشة م…
neg	وآهني اللي ليا وصل المخده ماطرى له من عنى وقته طواري 💔
neg	عندما تصرخ الطقاقة في العرس🌚 ( ايواإااه يهوو ) يصيب الفتيات صاعقة كهربائية في جدار المخ 🌚 مما يجعلهم يقوم…
neg	ليش المانشيت الاكشن طيب 😒
pos	اوجعكم وهو يشرح تاريخ الهلال بدون تحكيم 😂
pos	واعلم أن أمك تحبك كثيرا 😻😻
neg	#الهلال_الاهلي اسئل الله لكل من ساعدني برتويت ان الله يفرجها عليه فرج يتعجب منه ،يشهد الله اني اعول بنات ايتام و…
neg	لا يا جماعة ما تفضو الاعتصام الجامعة هتفتح 😥 #اعتصام_القيادة_العامة
pos	🌹 الصمت 🌹 يقولون عنه .. لغة العظماء وقد يكون ستر الجهلاء وقد يكون للنفوس إرهاق هو صمت في ظاهره لكن في جوهره ضوضاء ق…
neg	هذه حقيقة الخائن الي باع بلاده لأجل تمرير أجندة الشخصية 👎 #فساد_احمد_الفهد
pos	#الى_سدره_المنتهي كلما ضجت بك الحياة بهمومها ارح قلبك بقرآن اللهم اجعل القرآن الكريم ربيع قلوبنا ونور صدورنا 🌱💦 ما…
pos	تتوقعون لو تلقي القبض علي الحكومة القطرية ماذا تتوقع يفعلون بي ؟ ( اتحفوني في توقعاتكم ) بس ابعدوني عن الخازوق يا…
pos	صباح الخير 🌹 A💕✋#صباح_الخير
pos	يجمعنا القدر مع نفوس طيبة تفوح من كتابتها ازكئ الاخلاق وتسطر أقلامها أنقئ الكلمات لتخبرنا برقي أصحابها. 🌺…
neg	هما بيقولو اشاعات بتسد النفس 😂😂 احنا بدنا اخبار اكيدة القرار ع :30 لسا 💣
pos	ترتيب الفرق قبل الختام والتتويج 🏆من سيتوج بطلا ؟؟ بطولة النخبة 🔺اليوم السبت الختام والتتويج 📺 مباشر KSA SPO…
pos	متحسبوهاش ، ربنا حساباته احلى .. 💙
neg	✿ م مرة زرعت فيمن حولك مبدأ أن لا أحد يستحق، بينما تبكيك أغنية! 💔 كم مرة بدا عليك المظهر الصلب، بينما تتهاوى ال…
neg	نفس قانون الولاية على النساء البالغات 😏
pos	ولا انا والله 😂
pos	اوعا الريمونتدا يا عم الحج 😂 #قدها__يا__اهلي
neg	°♡♬ "ودفنا الشوق في أعماقنا ومضينا في رضاء واحتساب" 💔 ..)
neg	هذا الطفل المعلمة كاسرة خشمه ، والسبب : لان ماجايب دفتر اعتقد هذه المعلمة جانت سابقا تشتغل بداعش ..؟؟ المعلمين…
neg	#أمي يقال ان البكاء يتعب الميت سامحيني فقد بكيت شوقا لك لا اعتراض على أمر الله لاكن اشتقت لك كثيرا 😞 ياروحا…
pos	#صلاة_الفجر يعتقد النائم عن صلاة الفجر أنه سيأخذ القدر الكافي من الراحة ، وماعلم المسكين بقدر راحة تلك القلو…
neg	اين عزيمتك !! بموت م الضحك مدري يخوي شكلهم مواصلين لاتشره 😭
neg	صباحنا لذيذ وجميل مثلك 😴
neg	تسلم وش صار ع الاسم 🌚
neg	هوا انا لحالي كل يوم لازم اقل اشي ساعة قبل م انام افكر و اعيد و اخد قرارات ولا ايه 🐸
neg	انت قولتيلي انك مش رايحة ها 😒
pos	❄ *﴿نزلا من غفور رحيم﴾* عظم المنزل، فعظمت النزل. اللهم اجعل الجنة نزلنا ومأوانا وقرارنا ووالديناوجميع المس…
pos	#الاتفاق_الهلال ملخص المباراه : مباراه العوده للهلال بعد توقف مؤقت 💙 شكرا جحفلي 💙
neg	داري داري ياقلبى مهما تدارى ماحدش فى الدنيا دي يتعلق بشئ إلا وفراقو يشوف 💔
neg	⛈😍 🥀 يشوقني برق #المزون السواكيب ويهزني صوت #الرعد وانفجاره #افرح اذا سالت حلوق المداعيب واطرب على وقع #المطر وان…
pos	وياه 💘 #عمرو_دياب_في_جده
pos	حساسية الربيع مزعجة جدا 🙂
neg	ربنا يديكي عريس شبهه 👐
neg	الصاعقه مفرد. والصواعق جمع. ياذكيه 🤔
neg	تعبت انتظر 💔
pos	اود أن أجلس على الشاطئ في الساعة :00 صباحا واستمتع بالهدوء وجمال البحر . . 💙
pos	ادعوا لكريم سعدون يقوم بالسلامة عشان تعبان جدا 🙏
pos	✍🏽 قال العلامة عبدالرحمٰن السعدي رحمه الله تعالى: "وعلامة الرحمة الموجودة في قلب العبد: أن يكون محبا لوصول الخير…
neg	ابتسم لي يوم قابلني وسلم ابتسم لي والوله باين بعينه —— 💔 #الأباتشي #جنون_العشق_للدعم ✨
pos	اللهم بقدر تعبى وكتمانى عوضنى خيرا..، 💛
neg	بتفوتني المباراة 😔
neg	#BLACKPINKxCoachella_D1 قولوا للننة تحسن ألفاظها مو عشان برا كوريا ترا ستل ننة و آة ماقاش حلات بتش منك اسحب كلامي 😰
neg	بسبب غيرتها في موضع مش لازم تغار فيه ..تسببت بفشل عرس ابنها .. النساء عالم عجيب والله !
neg	يارب تجمع شمهلم عاجلا غير اجل 💔
neg	ليت العمر يعطاء ويهداء وافديه بعمري اورخص له مابقى منه 💔
neg	ليته فصلها له 💔
neg	"فإني قد سترتها عليك في الدنيا.. وأنا أغفرها لك اليوم" 💔 حديث عظيم.
neg	قلة النوم 😴
neg	لا والله 🤔 طرشوله 😂
pos	- لاكن .. مفيش أغلى من الحياة = أول ما تفتح عينك الصبح لازم تشكر ربنا ❤
pos	💧إستفتح يومك وعطر سمعك بهذه التلاوة الراآائعة للشيخ المقرئين الشيخ #عبد_الباسط_عبد_الصمد رحمه الله 🌹 ~~ 💧…
pos	هناك رسالة لك أريدك أن تقرأها ، إفتح القران على سورة الطور آية إقرأها بتمعن ستعجب أعدك 💛 .
pos	اللهم ❤ إني أسألك العفو والعافية في الدنيا والآخرة اللهم❤ إني أسألك العفو والعافية: في ديني ودنياي وأهلي، ومالي…
neg	اللهم اغفر لأبي واجعله بالنعيم المقيم الذي لا يحول ولا يزول , اللهم ارحمه وأنسه في قبره واجعله في مساكن جنتك آمن مط…
pos	🎓 نبارك لخريجي الكليات التقنية والعالمية والمعاهد الصناعية بمنطقة #القصيم #بريدة #الرس #عنيزة #الاسياح #المذنب نب…
pos	او لو هتبوس 😂
pos	ولكي في قلبي عرش لا يجلس عليه سواك، تحرسه ألآف النبضات وتهمس أحبك بالثانية ألآف المرات 💕
neg	زمان ما لبست كعب يارب ما اوقع 🌚
pos	﷽ ﴿ إن الله وملائكته يصلون علىٰ النبي يآ أيها الذين آمنوا صلوا عليه وسلموا تسليما ﴾ الله…
pos	لأقعدن على الطريق و اشتكي و أقول مظلوم و أنت ظلمتني امزح امزح بقصر الشر 🌚 #وش_يقول_الليل
pos	😂 ياساتر وين بتروح من الكارما هذي
neg	راحو 😒 الله يسلمك
pos	وجهك الصبح الضحوك وبسمتك ضيه 💙
neg	#كلام_يحتاجه_الناس لا تشتكي ي واحد بات مهموم 💔
neg	#حسين_عبدالغني متعصب ولا عنده روح رياضيه شوي ويهاوش الاعبين 🌚
neg	ارح ضجيج قلبي ياالله 😔
pos	تمام يا جميل مافيش حاجه 😊
pos	الجزء العاشر سوره التوبه صفحه و و و 👇 ركعتان يركعهما العبد في جوف الليل، خير له من الدنيا ومافيها…
neg	#الفيفا_يرد_احتجاج_الهلال_صحيح لازم يصحصح الهلال ويطالب بالنقاط اقهروا بنوا فقر أعيدوا نقاط الوحدة و أحد وخل العو…
pos	#شكرا_لتفاعلك_وتميزك 🌺🌸🦋 🌺🌸🦋 🔝⭐🔝⭐🔝⭐🔝 🎆🎆⚡اناقه🍃 🎆🎆⚡تميز🍃 🎆🎆⚡روعه🍃 🎆🎆⚡إبداع🍃 🎆🎆⚡تألق🍃 🎆⚡ذوق🍃 💞 ⚡⚡ 🌟🌟…
neg	اشبها حدفت الفيديو ! :(
neg	انتقل الى رحمة الله والد صديقتي 💔 اتمنى منكم الدعوات الخالصة "اللهم اغفر له و ارحمه،واعف عنه…
pos	تعالي فزتي ؟ 😂
pos	الله يوفقج ويسهل عليج 💛
pos	💡 الأغنية الأخيرة لاداء بلاك بينك في كوتشيلا " ماجيماك تشوروم " - ابريل ،
pos	بعدك على بالي يا قمر الحلوين 💫
pos	وانا شاد حيلي ☻
neg	تكلم عنه او هنا بدون لا تبين ذكر او انثى — ابختصر كل كلامي عنه واقول يكفي انه شخصي المفضل 😏
pos	#BLACKPINKxCoachella_D1 ليه احس جيني قالتها بالغلط 😂
neg	امين هالقشرا 😭
pos	صباح الزهر والجو الحلوو بتوقيتنا 💛 الجو طرطريشن
neg	صباح النوم 😴
neg	طيب هو اذا زار مدرسه يدخل الفصول ويصور وشوفوني اشتغل واسال 🌚
neg	ولما أحس حالي أحسن وقادرة وقوية، أسمع لي كلمة تموتني من تاني 😪
pos	مبروك للمرة الرابعة على التوالي 😎❤️ وحووش💪🏼
pos	صباح الجمال كله 🌹 🌺🌿
neg	ولا تحلم الخرفان بخيرات بلادها مادامها خرفان خانعه ويحكمها كلاب 😏
neg	يا حبيبي لا تهملني 💔
pos	#المشاعر_هالليله_تقول تعالو سولفو معي ترا م اضر 🌚
neg	بدري ي الغالي 💔
neg	🤫لية يارغود قلبتي المواجع 💔
neg	هو محدش بيصبح عليا ليه هو انا نكره ولا اى 😒
pos	والله اذا شفت خشته بالقناة أني أغيرها اوتوماتيك، ثقيل طينه من ايام القناة الثانيه، ماله قب…
pos	#الأهلي_الهلال كل ماقدمه الحراق 🔥 في مباراة الفيحاء يستاهل الدعم اليوم بالحضور ورمي الفساد باللي تقدرو عليه اشكر…
neg	ما هو اللى يمشى ورا كلام الناس يستاهل كل اللى يجراله 😒
pos	يا حلو الوقت من يمك 💕
pos	“الأرواح أرزاق كل ميسر لرزقه !" 🍃
pos	قال الشيخ تقي الدين: إنكار الجن كفر ظاهر فكثير ما في الكتاب والسنة من ذكرهم، بخلاف دخولهم في الإنسان فإنه أخفى، و…
neg	الاشي لما يلمس القلب بقوته, صعب وقتها ترجع اشياء كانت. 💔 :32
pos	عاش الهلال .. لقلبي ولروحي ولسعادتي 💙
neg	عشان مره ثانيه يوم تشوفني امجد لمسلسل تخضع 😏
neg	علميني انتي ذاهنه من البارح 🤔
pos	بلكني الثوري الحر 😂 ياليل الطعمية اذا صدق أنه في بلد ديموقراطي ومؤثر سبق وزرته أيام مبارك الي ذيك الأيام كانت أفضل…
neg	يالله واجد تصير لي ، اقول توبة م اكل بس م اتأدب 😔
pos	الي عنده خبر يفيدها ياعالميين 💛
neg	اللهم انت الشافي لا شفاء إلا شفاؤك .. اشف جميع مرضى السرطان و خفف عنهم الألم 😥
neg	الله يرحمه و يغفر له و احسن الله عزاء عائلة بدران 💔
pos	صباح العطاء 🌹
pos	انصرنا يارب يااعاالي 🙌
pos	والسموحه يالأمير على التأخير بالرد 🌹
neg	انا غلطان 😫 كان المفروض جي اسوي يوم تخرجت 🌚✌🏻
pos	اي كوز وينو ندوسو دوس جيبو م بنخاف م بنخاف م نخاف تحية لكنداكاتنا 😍 #موكب6ابريل #مدن_السودان_تنتفض…
neg	احلى من جذي ماكو 😑 ما شاء الله الدووب قام يلق
neg	كانت تظن أمي دائما أنني لا أتأثر مثل بقية إخوتي والأقسى قلبآ وأقلهم إحساسآ هكذا كانت تظن أمي بي لا لشيء إلا أني كنت…
pos	- اضاعو هيبة #الهلال 💙
neg	تكفون نبي دورة في الشرقية نفسها 😩
pos	انا دايم كلامي صح 😛 وبعدين ايش شروخ ذي 👊
pos	طلعت حمار عليك لاني كنت امشي معاك 😊
pos	🕊 رسالة الملائكة في الحلم تدل على نقلة روحية في مستوى وعيك 🔅 ثقة بان رسالة الحلم خير لك من الله وليس بيد المفسر او…
pos	شهر ميلادي يقول لاتتزوجين ابد ماذا عنكم 😂
pos	• . و تبقى #الوحيد / اللي لمس قلبي ب #أصدق شعور 💜 ٰ #انشهد 💜✨
neg	رجعت لي بعد طول غياب وش ذكرك ياالغضي فيني كنت احسبك للعيون أهداب واثرك عذولي ومشقيني 💔
pos	بعد مااحبه 😂
neg	انا ليش قاعده الحين 😒
pos	- ما خذل القرآن صاحبه أبدا حتى يوم القيامة..لايزال القرآن يسعدك ثم يسعدك ..ويرفعك ثم يرفعك حتى تقف بين يدي الله ويشفع لك.. #الشنقيطي 🍃
neg	لن أنسى تلك الغصة ، تلك الصدمة ، تلك ساعة الوداع التي مرت گ ثانية ، لن انسى ذكراهم أبدا .. 💔 _گم…
pos	لو عمري ڪلهۂ وجع منڪ ماترڪتك أنا بحلوڪ ومرڪ عشقتك { ↝ ❤ #S ❤ ↜ } ،˛ …
neg	كل المسلسلات متكررة لاكن غصب نتابعهم بعد مانخلص من المطبخ 💔 #مسلسل_ودك_يتكرر_برمضان
pos	اللي بييب لج قراند بيانو في أول ذكرى زاوج ؟! أظني تزوج ويابه لوحدة ثانية 🤣
pos	حروف تطير كفراشات في حقول اللغة تهمهم بانغام تستل لحنها من جيوب مملوءة جوهرا وﻵلئ.. #رتيل_الوجد تباارك مبدعين…
pos	مافيه شي بهالزمن مضمون أقنعني الوقت وأقنعته ! يخونك اللي مستحيل يخون ويحبك اللي ؟ مٓ توقعته ﮼بوح،الريم ❥ αℓяɪм…
neg	حسبت انك متابعني! المهم الله يستر من الحكم اليوم لا ينحرنا 💔
pos	مالي ومال السايبه والنطيحه انا كذيا فارقه و بجيتي فرق اقبل جزيل السالفه والنصيحه والي يزل بذمتي لحرقه حرق 👌…
neg	📌 الهلال لم يستطيع الفوز على الوحدة وأحد والحزم ذهابا وإيابا.. ولكنه فاز على الأهلي والأتحاد ذهابا وإيابا !! يا ش…
pos	🌹هناك أناس كمفاتيح الذهب..🔑🔑 يفتحون كل قلب❤ بحسن كلامهم.. وكرم أخلاقهم…🌹 اللهم إرفع قدرهم وفرج همهم وإسعد حياتهم…
neg	صباح الصداع الي شقني شق 💔
neg	💔 والله كنت اتابع النهائي مغصوب
pos	صباح الخير لمن مسهم الحنين إلى أياما مضت،إلى البدايات،إلى الأمل،إلى حيثما كانوا أخف ثقلا من هذا الوقت،إلى كل ماقد يصلهم بماض لن يعود 🌸
neg	الوضع صعب 😭
pos	لم نكن نعرف أن هؤلاء النجوم موجودين أيضا في الرسوم المتحركة 😂
neg	تعل بس .. ورني ضيقتك وين ؟ وتردلك وقفاتي .. العلم عنها 💔
pos	لا إله إلا أنت سبحانك إني كنت من الظالمين ❤
neg	من اصعب ايام حياتي 💔 اللهم ارحمنا 🤲🏻
neg	#الاتحاد_النصر الوضع بختصار 😏
pos	بالسلامه ي ابو وليد 💛
neg	بكره استلم حريتي 😩
pos	ياخي ذكريات البترول حلوة بس ما ودي ترجع .. مدري كيف 😅 We made it anyways 😍🔥
neg	صبح صبح .. 🐸 الوصول الى مرحلة " خيخه " ليس نهاية المطاف في الذل .. هناك مرحلة " العار " ولا يصلها الا الصفوة من ال…
pos	طالما ستبقون تعاملون نساءكم معاملة الراعي لأغنامه في الحظيرة .. فسيظل هاجس العاقلة منهن هو الحرية .. لعل الذئاب خار…
pos	هذا الي ناقص 😂
pos	☀ اللهم ابعد عن احبتي البلاء والعناء وارفع شأنهم عاليا في الارض والسماء وتولهم برحمتك في السراء والضراء و…
neg	مافيه عادي. فيه تماتيك 🤔
